Rank,Distribution,Trend*
21,Guix System,2448
29,openmamba,979
10,EasyOS,597
66,SystemRescue,351
25,KaOS,309
44,4MLinux,295
9,Kali,294
14,Ubuntu Kylin,272
83,GParted,190
18,Karoshi,167
13,openSUSE,166
85,Funtoo,155
65,Porteus,139
74,Qubes,131
31,Kwort,125
63,Sabayon,111
37,Garuda,107
40,PureOS,100
80,ArchBang,87
73,Haiku,78
35,Peppermint,65
19,Linuxfx,57
103,Redo,49
71,LXLE,46
42,Kubuntu,45
100,BlackArch,39
30,PCLinuxOS,36
54,Gentoo,34
199,Linspire,30
76,ClearOS,29
90,Ubuntu Studio,28
133,Redcore,28
119,BackBox,25
261,Zevenet,23
86,SteamOS,23
134,LFS,23
94,ROSA,21
131,FreeNAS,21
204,Zentyal,20
254,SELKS,20
104,MakuluLinux,19
62,Artix,19
167,NST,18
156,blackPanther,17
157,APODIO,17
143,EasyNAS,17
116,AV Linux,17
102,OpenMandriva,17
124,CRUX,16
48,Void,16
88,Trisquel,16
101,DragonFly,16
146,SolydXK,16
195,Sophos,16
188,Berry,15
170,BigLinux,14
272,Webconverger,14
43,SparkyLinux,14
106,Nitrux,14
205,BSDRP,13
5,Ubuntu,13
123,Whonix,13
203,UBOS,12
50,Devuan,12
230,Grml,12
81,ALT,12
128,RebornOS,12
169,Ufficio Zero,12
224,Photon,11
175,BEE free,11
220,Refracta,11
246,YunoHost,11
122,SUSE,11
159,GoboLinux,11
136,OpenMediaVault,10
179,XigmaNAS,10
152,TENS,10
110,ArchLabs,10
227,Asianux,9
234,TurnKey,9
82,Tiny Core,8
245,NethServer,8
118,Slax,8
263,Live Raizo,8
126,Zenwalk,8
252,OSGeoLive,8
223,OviOS,8
112,Septor,8
181,Pentoo,8
194,RancherOS,8
269,SME Server,7
248,FreePBX,7
69,Bodhi,7
165,ArchStrike,7
214,Thinstation,7
198,batocera,7
56,ReactOS,7
193,OPNsense,6
120,Calculate,6
267,Pardus Topluluk,6
